id,type,series,series_length
9,sin(0.5x),-1.03560241921762 -0.885340154741286 -1.43307910693085 -1.1912121143705 -1.4185372200387 -0.960092961982943 0.0535407875586221 0.296275921384459 0.181454102624956 0.35641355133529 0.231138219367818 0.641374958247361 0.878885767958183 0.642880052393168 1.18375126433708 0.439619641914205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
9,tanh(x),-1.55314729701234 -0.794470731244384 -0.671649262607882 -0.763853555497632 -1.0825840110992 -0.963589685643122 -0.318767818331814 0.48046078914662 0.546174311285897 0.798281571658914 0.589635150706609 0.84150587589205 1.51409543751479 1.42779692599527 0.894767346399473 1.51105339912758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
10,sin(0.5x),-0.721656430524109 -0.808659722365227 -1.28138847968647 -0.53130293269617 -1.31129358104568 -0.46769824998386 -0.397156347194985 -0.437259158212919 0.597590237041084 -0.419245578444948 -0.290441733520247 0.197621788172983 0.702290839420167 1.03082641421777 1.18442290944532 0.519864023647398 0.89241672342821 0.732298306405205 0.911592698107769 0.752734730487 1.11576973427645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
10,tanh(x),-1.15147884402288 -0.668457537123231 -1.1190841119679 -1.33340433661601 -0.774304723103537 -1.02569069852729 -0.888457875553546 -1.24864728730134 -0.448994540564379 -0.440479526596548 -0.82451450170223 -0.442653228852346 0.465786598540605 0.213280380421996 1.17643033385837 0.838094979191294 0.902015755985694 1.14662726598027 0.782345780154199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
11,sin(0.5x),-0.46779122796288 -0.994629097073198 -0.985736221591263 -1.2206359474812 -0.917476227456074 -1.08298445659276 -1.00418226744825 -0.83823871045454 -1.02082560262227 -0.557333302615882 -0.252822521184406 -0.422778549555602 0.111750070115893 1.0214056794077 0.874185327391465 1.18491500385096 1.17677474082346 1.02106276267391 0.912877598701872 0.879853352003143 1.14081208145128 0.633808317151791 0.770317606882665 1.10103320978129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
11,tanh(x),-0.477326582184272 -1.06244977118232 -1.3806621577056 -0.906828197969669 -1.25237319558623 -0.712218168550431 -0.803846092150888 -0.836455533136177 0.524627853220444 0.989726489083363 1.26183368868825 1.02815364830486 0.955526590874919 0.914224934653156 1.05358633497414 0.964827977547081 1.058066749607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
12,sin(0.5x),-1.068237202476 -0.316437804801954 -0.964918329998362 -1.05101721711439 -0.225884124406606 -0.972144263410937 -0.9988821808208 -0.789919501499912 0.421468649094007 1.23760171222435 1.1527191392363 1.15898516676141 1.35778714923575 1.15278124108486 1.11062708492521 0.669637953566257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
12,tanh(x),-1.16595034653058 -0.807899455579168 -1.20293961175364 -0.524607760190105 -0.589435944300809 -1.11042732827105 -0.796094723121848 -0.413986880127568 0.207661606655651 1.17000760103651 0.382555009723306 0.69539864523137 0.734571902742865 1.64457606669327 1.10152201059891 0.628677476767719 0.838170392612594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
13,sin(0.5x),-0.4644061402014 -0.703036422027175 -0.898066404361755 -1.33171620603297 -0.509740560654594 -1.03003463338173 -1.37864346936646 -0.411959792084723 -0.572446568076613 -0.580547208146489 -0.241861630588348 0.0350956347548026 0.125810676433713 0.155826499945358 1.05879696903614 0.377248852538773 0.894251918265618 1.20995092658859 0.879361499613761 0.482668535739683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
13,tanh(x),-0.805424385037119 -1.10984612263731 -1.26620222945946 -0.284574830183426 -0.738242795555788 0.139337748717166 1.23203252388094 1.16428245747245 1.1278861145632 0.875159343669727 1.17893252053691 0.823180768766223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12
14,sin(0.5x),-0.861532331139515 -1.18613443531486 -1.05212752338297 -0.110492389868686 -0.979286556999819 -0.723899620190417 -0.456278030351775 -0.221441292154477 0.498379275148268 0.64303918815681 0.852734121299109 0.882777184668768 1.4395466679771 1.10068936298579 1.27432850933416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
14,tanh(x),-1.19195715576023 -1.25327665532861 -1.26314558929636 -0.933440655529498 -0.391409137258799 -0.441389453317959 -0.429102467829609 -0.849026190846564 -0.0972775002133277 0.835644808757168 0.521203774259264 1.1919367945834 0.695878334979792 1.35771266173552 1.16301859010099 1.01945236510301 1.32283255888109 1.05536872664549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
15,sin(0.5x),-0.82451664524434 -0.807313106878218 -1.60072542673555 -0.781709411034054 -0.675970216322137 -0.891775596750188 -0.726272644485981 -1.02166394237524 0.261102647958857 -0.282745617408689 -0.184174336841565 -0.228245392339275 0.425288583513189 0.299623534533166 0.33791048590109 0.39303470032802 0.611905761260101 0.856960793872377 1.82164067908437 0.951239303629738 1.11688697234372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
15,tanh(x),-1.02508849875653 -0.732581669117108 -0.806423525266918 -0.63573673684727 -0.988561928885821 -0.654288485192969 0.117763779342598 0.728284314488239 1.2801179474087 0.35752144273595 1.06126376814941 0.868347744874823 1.08134999064415 0.18221971990725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14
16,sin(0.5x),-1.43408989935168 -1.70971700719748 -1.43393364742192 -1.03981536376062 -0.97950440295869 -1.09776961285353 -1.23657036188383 -0.411720685381592 0.340408784196883 0.145085214251719 0.552203794681765 0.594527971516887 0.759075315461088 0.469416271604746 0.824478640149537 1.01283894384292 0.715176318724075 0.729522946855426 0.945859758654564 1.13051943508331 1.0798909182697 0.83296797661307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
16,tanh(x),-1.3067126319515 -1.39241819808681 -0.605022583116255 -1.16650231208407 -1.11307375454596 -0.831787824043311 -0.653770383472637 -1.04221956649189 -0.741658419675511 -0.371859269801673 0.690866743854372 0.471229310629244 1.09918240789409 1.56665444950373 1.00418492635275 1.00580921197599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
17,sin(0.5x),-0.257259294783708 -1.31668468449214 -1.24422899148685 -0.8895007320789 -0.990824911615677 -1.01740182657941 -0.518226693605811 -1.28831893807831 -0.376558774178203 -0.482243314589689 -0.423172774815272 -0.103098203438188 -0.108348649167656 0.0249406125047452 0.899581880521779 1.00589052070182 1.06559996501635 1.40629582939242 1.73768940013615 1.08398201236854 1.23544656305811 1.07567172189398 0.358014480431283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
17,tanh(x),-1.10292461451434 -0.823248252333148 -0.817973320614178 -1.11687069268665 -1.08316698545549 -0.83024331459851 -1.04736376533102 -0.767815408248838 -0.181956320767878 -0.292618276252244 -0.124790795213815 0.0456562469113933 -0.0922593575012887 0.268105585388869 0.289041715601741 0.544484595350175 0.863450687554536 1.20851640385124 0.648743979956254 0.524363285313587 0.643564766529481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
18,sin(0.5x),-0.0319172755747488 -1.07832120387529 -0.788114742445171 -1.07299601580614 -1.20247721359529 -0.455302675197494 -0.663956100398238 -0.298922535876367 0.598993402787008 -0.186888339018887 0.669220977205785 0.543633302856714 0.277936519378074 0.767907699762381 1.1546772900646 0.92340480264434 1.20372617217223 1.36493611653483 1.19405991636256 1.09084361665048 0.312652491502379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
18,tanh(x),-1.17211639867512 -1.55197319147789 -0.785240917870178 -1.27505197887898 -0.92085323488801 -0.783238847105455 -0.5752802383571 -0.861711192713365 -0.677389416712784 -0.468659378046693 -0.417692895658309 -0.26245596128716 -0.0639717430434759 0.758473189758094 1.12921787805659 1.14417503397518 1.62164869664814 0.861800036092411 1.09720527423826 1.21465836126634 0.673401297951636 1.30416972855945 1.38120206512999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
19,sin(0.5x),-0.532870221464127 -0.603579043203438 -1.39735934067025 -1.35973552181901 -1.35529342472619 -0.728016935687321 -0.35191572380424 -0.39458168837738 -0.460438380319039 -0.408716220357202 -0.0543872932097991 -0.31811460529342 0.40586276242885 0.584314504170638 1.1535019615598 0.97724677834328 0.657768009732825 1.17750527475226 0.600842466376907 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
19,tanh(x),-0.850770882964258 -0.894288829641998 -0.525751018648555 -1.14841824425248 -1.11969259703299 -1.25006500562301 -1.39908794299867 -1.09825398232071 -0.783755839776858 0.0411299240846754 0.787810137939688 0.760210256590319 0.866383099892061 0.652673170794019 0.973714065462076 0.807332688029304 0.666577682612879 0.955408583094469 0.583406934427206 0.919195248188372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
20,sin(0.5x),-1.06421615345586 -1.06039438979472 -0.440538348828905 -0.506679299609391 -0.716259652742661 0.0752046699455781 -0.359571744101155 0.0914699109533337 1.20238521504976 1.00524592705634 0.95335292124857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11
20,tanh(x),-1.16406211028378 -0.958591051433476 -1.22677469714611 -1.05815687592335 -0.888832924294305 -1.10359089269369 -0.821632688245281 -1.16161168874426 -1.91205057812919 -1.21360651519704 -0.327372370005535 -0.193477249478663 0.0959546366872959 0.603871270498838 0.669898038186786 0.867168008198913 1.38322027492105 0.600098703625587 0.654332140683696 0.676641550660066 0.792802272508424 1.40327355486932 0.954604352340488 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
21,sin(0.5x),-0.887688085362276 -0.964250703416365 -0.466135421779565 -0.664194712047312 -1.64419517056762 -0.439183097997213 -0.0909480899241076 -0.711106198154051 -0.477855626534742 -0.256494104210237 0.445680023673928 0.914356945058422 0.0111988320554388 0.165364514226855 1.01632255703688 1.27082107435725 0.836519830554531 0.946719254831155 1.58904049037307 0.841661332761921 0.345244903870385 1.27567378759626 0.572507335287561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
21,tanh(x),-0.778604451774001 -1.0313281514413 -0.863269700452792 -0.73000743177556 -1.34145618270275 -1.33755027502776 -1.29886952987806 -0.648535198598556 -0.752569585717259 0.451881921689452 1.03321330848809 0.717166433985103 1.17225991092611 1.12347511615611 1.45146378738495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
22,sin(0.5x),-0.788979756841208 -1.02247933747753 -1.06877734168647 -0.991717031190935 -0.836796842290893 -0.962399810446063 -0.613371369989372 -1.16012165590575 -1.03387393191443 -1.21632059671731 -0.0467067032180924 -0.389777956989484 0.58495446439382 0.179088882472205 0.372082779283714 0.630467594200445 0.605797419726154 0.944970663733203 0.331684535277033 0.98134135087275 0.484666562407082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
22,tanh(x),-1.19360272059726 -0.294175225227512 -0.62641424655051 -0.684908086079161 -0.833824087613145 -0.92800900701152 -1.73919537957757 -0.242060699484213 0.00951609908929762 0.188262590371505 0.365444688489549 0.427219398796978 0.417147544534252 1.00629050875465 1.27027284490515 0.638334005853991 0.900008129287862 0.324010823695819 0.918540810801284 0.481779675646594 0.802805343426561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
23,sin(0.5x),-1.04413371784119 -1.236997093708 -0.972011570172093 -1.37374750925083 -0.793306788971226 -1.040562387307 -1.18359370012978 -0.523438119406336 0.227882699342848 -0.350261950990755 0.537196657846673 0.426974223405067 0.71557797500127 0.803042603221485 1.18729896747107 1.0437897268483 0.397350416891477 0.840356085227792 1.31270138900275 0.774277536054909 0.973803935654026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
23,tanh(x),-1.11662328192858 -0.57736141736214 -1.0186381467963 -1.28836883351364 -0.868218995355016 -0.575937695915211 -0.297881240127123 0.225474711831619 0.187773444750734 0.731517703597464 1.06495976340778 1.74513594760972 1.07686146094255 1.21091810393217 1.07276079457181 1.38085149014915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
24,sin(0.5x),-0.470793753400412 -0.202371255473743 -1.03880894599867 -1.03706157587392 0.0481238642795319 0.0805257588420682 0.157942268320024 0.32458420392896 0.663873662258914 0.566276627390293 1.15258405283529 1.37496538865986 0.898363307473076 0.94917739803041 1.06711627835762 1.21101005425071 1.2112084088004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
24,tanh(x),-1.01566542296503 -1.2145043365048 -0.821183224193994 -0.999089672781917 -0.911971032393864 -0.578841631456591 -1.3444934710933 -1.08742049476316 -0.460537474737698 -0.582495182763875 -0.176486187475521 -0.613209519438761 0.336929352663699 0.929473202731021 1.05876081213931 1.93402923752623 1.21003644777334 1.60737904215283 1.59181079958129 1.08140607968656 0.690215752297637 1.45845895484686 0.775823477306895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
25,sin(0.5x),-0.844109153560284 -0.691864973566161 -0.192806911577295 -0.824712499123348 -0.637139639600851 -0.474573499442757 -1.20483709211567 -0.0561248668943938 0.545459784136604 0.52875744709209 0.0333836211260736 0.679654036495756 0.505882727892524 0.790817114899788 1.23113606337805 0.94899881708304 0.47244610863408 1.36489013165197 0.287651860963217 0.926061546666541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
25,tanh(x),-1.34136999249783 -0.712649314192019 -0.880309983183336 -0.693845167585553 -1.09768850452956 -0.888274206694016 -0.360216647640205 -0.985755752232103 1.44671489183884 0.998521742061829 1.03789155397006 0.710346131159936 0.973367469949678 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13
26,sin(0.5x),-0.925258317136001 -1.26862924856518 -0.787110564233303 -0.86590525860966 -0.965968998640448 -0.87856265224867 -0.92852565548682 -0.42133356942093 -1.30229835200338 -0.598386575404353 -0.394840420367461 -0.216760058253123 0.0279054774155174 1.06450110548019 0.849567792784397 0.934417482854377 1.08798102481552 0.650379321116156 0.74497847344917 0.48927032546335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
26,tanh(x),-0.782364355366151 -1.28047214316263 -1.05228275331649 -1.46496781228213 -0.761395591955955 -0.863395688513168 -1.10355818168429 -0.96139917613018 -1.21030163696001 -0.56215848234207 -0.951285413515872 0.0239094716142693 0.584095031216547 0.540339056589587 0.71506400689243 0.687566547047771 0.960245025636736 0.95725999750977 1.05122116188667 0.954370356724683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
27,sin(0.5x),-0.225606622203869 -1.38577667109912 -0.828286970159005 -1.0450270850425 -0.515314199288101 -1.37521205896092 -1.23802448057422 -0.621928962854952 -0.290276742650615 -0.385795473139664 0.375908257866576 0.125915783690135 0.257834311961438 0.140881859652918 0.239520188558386 0.630214398198587 0.787682583718387 0.966382701776128 0.911743347841132 0.412038880845316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
27,tanh(x),-0.311637921135152 -1.49482642622812 -0.960326499851285 -0.835934535585322 -1.37258709491241 -1.13777934858041 -1.51299000929301 -1.39959718387317 -0.532624282165479 -0.863849913176506 -1.22861218290068 -0.532929091510617 -0.0746542121090354 -0.332235190186319 0.245483327511605 1.20009502565357 0.595249446997241 0.472645283797562 1.04107520392078 1.49614170155996 0.981422225609227 1.02056844129907 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
28,sin(0.5x),-0.474430149162115 -0.802292288777019 -0.646435362935247 -1.50213595279253 -0.630274463984919 -0.930619772996826 -0.587606981129941 -1.12091908263146 -1.12933870517181 -0.302618365051347 0.96159070529427 -0.0791669802077138 -0.114252402422497 0.215028027063781 -0.10763919881118 0.802171152804641 1.08306422546743 0.898488794604617 0.814232758333569 0.628643221523961 1.41777254123711 1.34947271204676 0.831771606193865 0.624991427504322 0.916655968799263 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25
28,tanh(x),-1.22796047704396 -0.640603910305417 -0.890094282839623 -1.34001731759249 -0.541856126953692 -1.36619128451832 -0.684034016352478 -1.2974621373492 -1.33012394297779 -0.606708621668782 -1.00671806995341 -1.12270092616626 0.407505151438323 0.778625916321817 0.510991399157258 1.07518772336198 0.751918580313687 1.08386944346183 0.659617167527635 0.708167352384126 0.931329110995992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
29,sin(0.5x),-1.14112879678538 -0.666334745227403 -0.76586292944136 -1.1664099736435 -1.20988135962323 -1.07196538026455 -0.73310176371861 -1.44813661913524 -0.507862458929865 -0.663757442725357 -0.246003949986347 -0.53511602726847 -0.176386197567252 0.819076706725555 -0.183023652423782 0.702485993406877 0.730724624229208 0.958396799333263 1.05820610967415 0.964977243891546 1.41212257218203 0.742436074773864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
29,tanh(x),-0.839453417637349 -1.21775463683105 -1.3588664105384 -1.06666116761497 -1.44500136018494 -0.981489039889618 -0.88270182753587 -1.42680392875027 -1.49768484259465 -0.67219780536309 -0.581833441577679 -0.872468915123709 -0.260324262089194 -0.580568832802839 -0.341229225368237 -0.00753435110959816 -0.257584024830056 -0.302063867976447 0.984789297356687 0.999410015078103 1.60968489236583 1.18519475668753 0.747571188087797 0.669783064290829 1.29939936207839 1.06095090494992 0.724671459987691 0.438320065819131 0.867457553730849 0 0 0 0 0 0 0 0 0 0 0,29
30,sin(0.5x),-1.42094346023543 -0.71491477021182 -1.07913636924418 -1.17998728016565 -1.47289753195202 -1.2057298267833 -1.24880218891103 0.00282049036569865 -0.366338821084643 -0.528078741193104 -0.338152981894076 0.766780868367865 0.499461347453614 0.426544596023251 1.14552026068038 0.680289061727167 0.831402946841303 1.14348958837881 1.11947012790751 1.22381293518644 0.477045135023604 0.632833345649411 0.753040093324072 0.954359179053113 0.700895650357606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25
30,tanh(x),-0.463605580356156 -1.54857115243607 -1.1874083180899 -0.84698461528825 -0.988854445893988 -1.13370077330678 -1.109562905578 -0.328683985663069 -0.0139113282222806 0.587803799805121 0.705338626004419 1.18738356127518 1.44406491562106 1.05436155662818 1.58960679143417 0.582958053593365 0.384399148303616 1.33975278463537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
31,sin(0.5x),-0.590994546144876 -1.07107096170485 -0.851957722951949 -1.40056297516101 -1.44464654402894 -0.946577760849946 -0.951738216825647 -0.343657374447687 -0.376675927871642 -0.405363451753426 -0.0590911697139903 -0.0242931963526988 0.608777145406281 0.462543118664216 0.54594536811696 0.730195532921691 1.03188660830723 0.7479242999875 1.1196561501143 0.775426864281015 0.849483854748761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
31,tanh(x),-1.52967139945676 -0.549869276406399 -1.30415181155089 -1.05303929532015 -0.886668849736633 -0.848286967703497 -0.514281344749277 -0.951314107087558 0.220013921506642 0.564086397934129 1.26572072435083 0.308763990584808 1.12933500577272 0.918204431633381 1.15026811290268 0.838943297147177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
32,sin(0.5x),-1.34733889584567 -0.67474732976441 -0.667969068532351 -0.507028113754589 -1.05289151849237 -0.956427827837642 -0.364506582840218 -0.120309984897486 -0.584950433505902 -0.252996828680164 0.807960039759487 0.44596666897106 1.15742051412697 0.804581260880731 0.661275549446585 1.03469532702579 0.92592882985921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
32,tanh(x),-1.21700309717133 -1.03397681123623 -1.46510308640582 -1.08617110876026 -0.875570208654542 -0.726409653209034 -0.827273478470814 -0.81429941059625 -1.194881317281 -0.589240015720809 0.092553618515013 0.447445913524733 1.1693485913047 1.06580025291142 0.597569423181534 0.952858609085617 0.951211583071192 0.846382856179457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
