id,type,series,series_length
6,sin(0.5x),-1.63268081287178 -1.67398214779129 1.12481695065173 0.203048056971614 -1.2900880201934 -0.501898370210498 0.512516565514075 -0.703098674521118 -0.0672650901501871 -0.350350736390942 -0.239108570406711 1.54798745603206 1.10708460527289 1.5012640229678 0.579010239158319 1.80351145056043 0.941217984694561 0.35624460560116 1.18874466695535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
6,tanh(x),-2.80633233378772 -1.88943702747013 -0.899140251252126 0.111429664854846 -1.26499442144709 0.270142027370863 -0.666106420924688 -1.60903022755955 -0.0428548753327229 2.26312319250398 0.495156635873873 2.72459926003521 0.947158248715573 0.98098409034174 1.44553535926231 1.07744705401718 1.79820587193762 1.7881140581075 0.489676529208017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
7,sin(0.5x),-0.494758434949688 -1.22463801502946 -0.0414031937332076 0.455824772972031 0.199434544762266 0.692953685224244 1.53576955528958 -2.01517039493524 1.38368914913789 -0.880218343584995 0.704052767076762 0.920152829837572 0.0228180556085268 -0.435799299136615 1.00842725841793 1.99458179267182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
7,tanh(x),1.05811540402572 -0.813198687400647 -1.80971584435536 -2.09407237252203 0.650169463132296 0.758579148439527 -0.432395406833615 1.8183414739011 2.15816387883054 0.215681058452448 1.44280291337824 1.61390577931528 0.200317704474134 1.44048604278568 2.03971682382247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
8,sin(0.5x),-2.31852020730725 -1.02753712138138 0.460606838915854 -1.50653680207465 -1.51806505527983 -2.37179057106424 -2.51363517941556 -0.711606998785999 -0.218374757287845 0.327201400101845 0.969582029096309 0.813435251275971 1.59536066123894 0.949347576713696 0.597060526994424 0.405259383866228 1.58232077871127 3.2659524058748 0.391725201541993 -0.140429658117678 0.728649128625602 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
8,tanh(x),-1.476755513897 -0.00397327807032855 -1.97107371650698 -0.490424659294337 -1.29020525751396 -1.44396889098937 -1.01841617460675 0.0381762755185889 -0.194852494282552 0.501208227424931 0.360844033446977 1.31714500727875 -0.597386783527459 0.25069946481725 -0.234167089004285 3.79192910738474 2.41729202738503 2.36791633837007 0.254729033833686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
9,sin(0.5x),-2.14600942054955 -2.06170885542492 -1.97843102659001 -0.660150012982931 0.936427263148368 -0.674597655263541 0.706089023947881 1.04266707672987 -1.02895652543895 0.295233314252781 1.25001578760836 -0.430530648960577 1.38361735672456 -0.226634441306921 0.363564179369947 0.0550434888042641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
9,tanh(x),-0.876497582819605 0.192191451495445 -1.03467015011498 -2.5170494857286 -0.334966845725989 -0.794751133776532 -0.348386776913553 0.738119625199807 2.43099819302591 1.45525303806753 1.03234877981991 1.49213561406207 2.74340777780489 1.861042180513 0.21952889571303 1.70047391723398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
10,sin(0.5x),-0.307009864223 -0.798292545383479 -1.10848870486045 -1.52680263011516 0.561114537758593 -0.821986330578894 -1.66226555626163 -0.723405743008403 0.862853805330332 0.583504478032155 0.440121843605252 0.275783200188763 1.76097316490125 2.60213847284558 -0.185447317980988 1.07340099221957 -0.502291159923282 -0.0206838833081536 1.8999560912873 0.727525666082957 0.147467332503394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
10,tanh(x),-0.52822708852545 0.0952266475003178 -0.829337547221677 0.516072190812986 -0.414191020036878 -0.597091321529678 -0.849336934254159 0.613081582464099 1.35533851117889 -0.431220085413359 0.192283296615583 0.0420890770224214 -1.7270917922644 -0.351492054496971 0.195245298853503 0.898539211325104 -0.527843983565897 1.40194018261527 3.5005680717525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
11,sin(0.5x),-2.53451845102524 -0.00200271543211239 -0.833477740493591 -0.786106717688745 -0.0289316421501071 -1.14327069080971 -0.147497104679843 -0.247256646965677 -0.174015712471149 -0.000521894709459736 -0.202223776409256 0.202013757227795 0.883491329524066 0.387861925670526 0.0474268877520932 1.90705110289957 1.04768463553913 3.43367367019585 0.527106996557083 1.83733954043385 -0.275697141727209 0.781906942143261 -0.724098903606773 2.31948007576316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
11,tanh(x),-0.667637482812452 -0.653169635020759 1.72871384663227 0.566047299061503 -1.10677624437288 -1.39696074913001 0.22570906558182 -2.62731260081666 -0.0631066920918342 1.59219993429473 -0.304966219344963 1.28969067568745 -0.0533744540403465 1.19713467480317 1.0879335976144 0.286489079540868 0.436729564984592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
12,sin(0.5x),-0.971031382709884 -0.834817114311273 -2.07112849139987 -1.30904376236748 -0.375819247553856 -0.797285427502058 -0.75064873981345 -0.616442315142533 1.08833367280369 0.61281082808548 -0.108485847729579 1.42145731288854 -0.589335277390376 3.02496406521503 2.11076432341171 0.755269739916007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
12,tanh(x),0.306806216165854 -1.78345178562247 0.317551069096058 0.0942392633329974 -0.197109756611469 -2.92703519675498 -1.74196556438823 -2.13077600957991 1.96405550334485 -0.0414295521713452 2.70134276235685 -0.242638553930927 1.32150882830388 2.14288357334803 0.284295890308516 1.83961716748769 1.84018137189108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
13,sin(0.5x),-0.160187201501197 0.428911376921793 -0.195734412401007 -0.780094090887181 -0.996041162912894 -1.22276447962418 -1.766374038331 -2.64233701594122 -0.889418428026739 -2.14693319981852 -0.580754045560711 1.28758024382845 -1.15611661495368 1.82472812985614 3.51138546963195 0.535642729961809 0.147328581231766 -0.702138693627917 0.436469513840139 -0.831888774227423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
13,tanh(x),-1.21005586689719 1.11510546485274 -0.768548259656537 -0.685700971869775 -1.91513546502701 -0.751669420445019 1.27173090895728 1.14266714862115 0.732175655601106 1.25867222326737 0.855588377971174 1.08928097325312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12
14,sin(0.5x),-1.16984169286421 -0.687203707483503 -1.90468339564584 -0.952852590347292 0.153249419011349 -1.55515816235226 -0.802033825663933 -1.14012754176007 -1.49961498177588 0.092992505595657 0.393013425917961 0.343968408009233 2.79979213383345 0.0235138363686747 1.35994925852973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
14,tanh(x),-0.490902163557681 -0.657593306777245 -0.0706491332082219 -2.5458524328001 0.154711690336155 -1.736081077206 1.16882257922894 0.140318080916351 0.560826276043735 -0.284604895165277 -0.928040378173583 0.847158911521629 0.25408138900006 1.90125538487097 1.71716525102371 0.221742892970738 1.24211032583491 0.74396561004587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
15,sin(0.5x),-1.10711212194975 0.158526962830303 -1.6070551373962 -1.92693144807971 -2.90759342116204 -1.71938984991945 -1.81834603076743 -1.99164730940838 -0.501936240151836 0.824451923976502 0.183357656390041 -0.486609914410744 1.08423207139135 -1.21445147039033 0.219019697399763 -1.19451686847947 0.784090317334081 3.57878435089269 2.42438241152583 0.806587978928454 3.2067930920736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
15,tanh(x),-2.62119015252698 -1.12423695124361 -1.06472724980941 -2.32754068156575 -1.20400004733224 -2.04916878269503 -2.78483107189174 -0.122551556419305 1.21463548603245 0.698365599284999 1.29821920638716 1.18948637541885 1.15669611941488 0.291694272362485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14
16,sin(0.5x),-0.298954441178959 -1.01634649954914 0.242875724501867 0.21924637229055 -1.08433312486262 -0.826102373016347 -1.19234690238713 -0.270044518400798 -0.17475985378279 0.0238699850428191 -0.337810682525593 0.051118755881681 -1.40498519767875 -0.310282434451301 -0.255679331819792 0.264960812811002 0.726639318592555 2.46696259771467 1.28954413395272 3.06661330921767 2.10415137789391 1.23976481319076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
16,tanh(x),-1.82891916285177 -0.685258020235873 -2.04404679989915 -0.950706311453052 0.423823040229564 -1.91552297610328 -0.936201833453532 2.12042562758513 -1.30262097229458 0.973538807973955 0.328351086285002 0.407092953073896 2.08502397032165 2.18800153262035 1.02658982974738 2.98466472348943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
17,sin(0.5x),-0.990694450685195 -1.63457980148554 -1.50131390976996 -0.951182973066793 -1.0748550796612 -0.396556762753914 -1.43526928423786 0.744779621033444 -0.267983564117533 1.32133040669791 -2.0859687449928 1.0735748081555 -0.562388950516468 -0.310932654351229 0.729967105288496 -0.213302660928902 1.33739051188532 -0.627711928596484 1.29345271785023 2.4693388287174 0.459835629943966 -0.126510120864771 0.608907490894405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
17,tanh(x),-1.09773139764646 -0.0967569593084023 -1.30454881455558 -0.611219957203737 -0.558582009063115 -0.0832119849790938 -0.661852597163941 0.538049698818526 -2.6346319411099 -1.33882875364236 -1.72934564516659 -1.41696102956182 -2.3446004289218 1.92070596236724 -0.499078109004912 0.256724781245437 1.19390496476363 1.33304956813624 1.32984420780131 -0.388492492925749 1.67462314910779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
18,sin(0.5x),-0.697270402628482 0.107745732231157 -0.897557794821082 -0.785199871308307 -0.562040086314486 0.790283946301108 -1.1193732112086 -1.90806593332351 -0.267358677034426 1.42434177661641 -0.857879557128877 -0.0401127969644627 0.590201384970638 0.683142368527278 -0.181672226019839 -0.150435723768287 1.95117614873581 0.691585421647549 1.01418128914439 1.93913804164503 2.03792307650593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
18,tanh(x),-1.34609026352844 -1.33740115595774 -1.32525202454938 -0.974855941251964 1.1159059419401 -1.01194353233475 -0.883275223779397 -0.33817643853537 0.393181355311067 -1.32029447704219 -0.6016619837935 0.355626489056543 1.8116775913143 0.594043764978487 1.40946344122331 0.636502785226735 1.65047521110183 1.88438661379269 1.35983038588805 1.11784637755177 1.29993352130457 1.35491825354014 0.847087149690526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
19,sin(0.5x),-1.35939457567723 -0.0361271360902559 -1.06658603282186 0.163442032180788 -1.58545507302072 0.044498873766181 -1.46136139844688 -1.25214437559894 -0.790451801253367 0.576926050024985 0.931097915599499 0.945262297059047 2.13443011055639 0.31802656326505 -1.01109243853777 0.41400397090645 0.731795026719164 1.2616353618193 -0.130593628443251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
19,tanh(x),-0.149860764898838 -2.14554775112685 -1.27181201336731 -0.425511807307231 -1.62235887746344 0.39885559572264 1.29738615331389 -0.549807785223703 -0.776775745556506 0.172901920099086 -2.21493080420156 -0.228863179483635 1.77166674104065 0.0286791923846333 -1.25322473672467 0.407092538741135 2.26723943333136 0.977231649475149 0.234686865861742 2.14670157949024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
20,sin(0.5x),-2.49597821946562 -0.167176286725963 -0.395815220601864 -0.288894216694585 -1.23241967344759 -0.107102336856767 0.0251572490649589 1.99052622794109 0.572947915711626 2.83992193144097 -0.961343685943813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11
20,tanh(x),-1.90242737675808 -1.77935075306755 -2.95501165418662 -2.55719226372623 -0.000113395109738734 -2.14072874574742 -0.240075015936623 -0.261751208507175 0.0658432833495439 -1.71574075636251 -0.745967028525484 0.0595366970579351 -0.292024868689302 1.89886245716571 0.448635966299971 0.694547905794641 -1.04379307833311 2.37632975882331 0.106715428793589 2.25943881751667 0.362077273420257 1.5982330313479 0.0183930600966191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
21,sin(0.5x),0.572829353983206 -2.29309943314562 -1.24449413440403 -2.09983943495785 -1.43042956829662 0.0623238927975477 1.12090396256914 -0.617351405407398 -1.55156839990771 -0.47478664850279 1.37103209114727 -1.70273314878379 -0.535878815947303 1.27527178714833 2.93855913463859 -1.38467629060338 1.2377196719169 0.152239149580148 0.0543755835975962 1.82764497691061 1.04680554083651 0.960102727379668 -0.0507597583119316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
21,tanh(x),-0.648633642953588 -0.956797211720833 -1.91886295097569 -1.4076767216118 -0.48411071809919 -3.20338725212296 -2.37110745371873 -1.14547614498335 0.875728951078979 -0.868807850126918 3.11016574565164 2.10950767035271 1.6828026252306 1.14720539907076 1.50129800988683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
22,sin(0.5x),-3.32168110298612 0.486857750967225 0.939247587879049 -1.03371743317777 -0.147091795160108 -0.274646854477212 -3.5240425092422 -1.70651790202934 -0.207389009069832 1.00268345217132 -1.20483791072335 -0.225618797346192 -0.680676156069826 -0.713948445290959 1.69780171391835 0.829089950561609 0.596263636810353 0.614018386959942 2.12395020943951 1.75241668082999 2.20812300444304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
22,tanh(x),0.217195950740105 -1.10191665509227 -1.7829718791701 -0.789590627084525 -1.80876187543414 -2.29318619925581 -1.11367662004767 -0.311096565956405 -0.695401361867321 -0.516605377704878 0.288704723450225 -0.257617654544224 1.34040273579837 1.14837730268067 0.744780549282971 0.919087167383618 0.269196133787429 1.83002096899932 2.22442370245502 1.72936930243422 0.897003802167365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
23,sin(0.5x),-1.07836233044785 -1.11027148561706 -0.339812184757938 -2.74143020112085 0.530595250015879 -2.0382812911147 -0.0553984423645366 -1.547217004473 -0.186809292658046 0.820079479144061 1.9584800176952 1.23406929589562 0.629267461611829 -0.529339465630135 2.10966187426388 2.49672996818801 -0.166272873492355 2.09653495458352 1.48729706883532 1.01079728428646 -0.528373550399543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
23,tanh(x),-2.26121422317853 0.110720837128515 -0.0986915789668327 -0.185152787676375 -0.704117560269124 -1.47268847093066 0.342035137299998 -0.62979044326824 1.14758870823635 1.04258534391633 2.15327101965971 1.10654429509224 1.87549761060241 -0.539065168526709 2.76008378883485 1.49319369922107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
24,sin(0.5x),-0.94243014184687 0.678078607851523 0.141344453633558 0.21312083304314 -0.71636448548531 -1.16028960983905 2.09135062771666 0.426735991153386 2.7320320457373 -1.6298582077966 1.27840072970393 -0.668726003218886 0.785036688045295 2.02817850749485 2.46594920412762 0.756832416713269 0.976225849353377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
24,tanh(x),-0.372696462461547 -0.908034517589124 -0.551272459684422 0.66149842274489 -0.476665884949581 -0.834837450680569 -2.09160836408329 0.568142841151342 -0.556801376950119 -0.511788209790187 -1.67897131359973 -1.95841957159704 1.01310649294239 -0.734198958548676 -0.367221029734113 0.645426564002896 1.17194533078401 0.711072946937235 2.62282139761082 0.0127222102835398 0.42994768020683 1.58886783751942 -0.762643209066147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
25,sin(0.5x),0.513051047163988 0.192975295807025 -2.41053320905816 -0.972302630483252 -2.09425748330005 -1.8619749769637 -0.140210555373395 -0.175914152836076 0.111471264008969 0.688255816525315 1.32588550298525 1.78030078094951 0.756523351202638 0.724507047058081 1.20157339822136 0.942572970858277 0.60582992759739 0.659334190811842 2.84613074538436 2.62005523036721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
25,tanh(x),-2.23947512013795 -1.69101611210369 -2.46207221129871 -1.22997244490285 -2.29592252296625 -0.342390736979324 -0.278457774980928 1.21491276227685 0.372937799345234 -0.67015387866115 1.94094093348926 0.287917980608853 1.59060389414985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13
26,sin(0.5x),-1.17705445066069 -0.723769990594872 0.257725797511818 -2.2104934932679 0.762717816490756 -0.419974289280874 -2.02638669735881 -1.10730472747014 0.908335915427056 -0.569991462811928 0.04147550771226 1.91362917623463 0.479831522176278 3.24303592249902 1.07836120776375 1.44193665749134 0.578103308668417 3.1012992641184 0.282023214585268 0.588299669111971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
26,tanh(x),-1.76422899857132 -1.01508938300992 -1.01508089521546 -0.291766557504687 -0.111879960411059 -2.1228685939586 -0.609719945195883 -0.311700650174903 -1.54854873876951 -1.95386038447081 0.623272939605353 0.451022216102676 1.21428166119959 -0.619511480798661 -1.45277437093259 1.51155126514471 2.38785374335436 0.13409303601316 0.910127543532461 1.62386980923598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
27,sin(0.5x),-1.91384696005392 -0.807871026193058 0.74433020009876 -0.728143926272943 -0.123156256824585 -0.525267047381914 -1.19488023507966 0.351536853396416 -1.37470155756554 -1.39443605298286 1.48256498162284 0.749787016923167 0.0373065650522674 -0.510255713825384 -0.237148958328224 -0.19099711277493 0.980115501992006 1.9368386450869 0.34612350459309 1.39678462651991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
27,tanh(x),0.0359406465733291 -2.54674214027731 -2.07823209480785 -0.866149281198749 -2.20845552804655 -1.59345095280949 -0.858299719920129 -0.226081345046709 -2.83822631925558 -0.743930521098405 0.224278778192534 -1.06660224161476 -0.733547609647612 0.0695792866777431 -0.531708384444869 0.422610899570468 0.496545272737483 1.94799835357676 -0.0426616177528583 2.05247551754475 -0.443463877820486 0.209137753592624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
28,sin(0.5x),-0.669529109157758 -0.0826196407077409 -2.37092313238785 0.0763821668832847 0.293407939120926 -0.652144595787849 -0.207024043461556 -0.208172668838355 -2.00825739675149 -1.10403482723313 -0.030225321126688 -1.04179758068819 -1.49074890290399 -0.652856334466624 0.682932502599655 0.419535924815955 1.86461711050795 2.03879467658264 2.64792945731876 -0.142241832837347 1.46553396507767 1.73976906754386 0.228008532045776 -1.39103388794574 2.3709674966594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25
28,tanh(x),-1.79095304163077 0.491806524992463 0.121306328726418 -0.869085237278711 -0.778454996097543 -1.33279687595468 -1.92918575119961 -2.10763725576271 -1.43333539733988 -0.545594929367567 -0.342908475359283 -1.34815555172256 1.7653466356601 0.146934421007435 -1.01975795590656 0.869986116782105 3.24917547327679 1.01355685243343 2.43173123974828 2.01054962561561 0.0192986937179772 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
29,sin(0.5x),-0.542858543056849 -1.60061223436645 -0.448595616568395 0.331354345572882 -1.55814879859224 -0.126320134323692 -1.27472313759015 -0.939655718799735 -0.951530672733579 0.0463651612071692 -0.681937581829767 0.453753374186864 1.37354407791445 -0.223361415323519 2.61517164551087 1.5883977591555 0.585322652774436 2.61488658037153 1.007479266755 2.78422566515687 0.0688195857663771 2.30827679863186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
29,tanh(x),-2.26356920268993 -0.465298194522352 -0.575812909795011 -0.222404709812114 -0.887818886449493 0.155181198494209 -1.25367266263373 -2.16076995408829 -1.20623332608537 0.0135330007714475 -0.030397945638263 -0.656348288691642 -0.235286343704662 -0.732757691788557 -0.642283494601973 0.657100885132324 1.39282756420999 1.12682742873139 1.52706486429853 0.806921623015037 0.196740565171793 0.69249762584183 -0.0178022887127275 -0.0325094615064566 2.16106810615507 1.60505068038091 1.3284433510125 -0.0259289576573457 1.96809186219333 0 0 0 0 0 0 0 0 0 0 0,29
30,sin(0.5x),0.455256983498516 -0.719519463174566 -1.97279469309676 -1.54552894896764 -0.974014280593704 -0.607438462310405 -1.26010973828154 -0.593975870898752 -0.526492263261366 -1.43688961679294 0.133682941069467 0.240335729891131 0.690087131577688 -0.53790027832511 1.14068966651794 0.278555392701668 0.982077662225168 0.905669181005432 -2.23542837875324 -0.307677245658991 -0.265081115486438 0.181392261746553 -0.108857214466045 2.32468657018561 3.71947575825658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25
30,tanh(x),-0.0998297060729194 -1.01532615775443 -2.4795892745627 1.30846440166133 0.459961601128556 1.40860742312857 -0.868795696207614 -2.00935817434002 1.18228678082139 0.381789566899855 0.832894371697926 2.9201340804292 1.68122884058865 0.619612924322873 0.0558515936925916 1.5687136544125 1.57342596080897 1.19723591029282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
31,sin(0.5x),0.188679618633693 -0.77399673685201 -2.41587071038086 -0.320528811310253 0.0944196226240357 -1.35890127718075 -2.559824443938 -0.935141729746568 -0.136258505034058 0.702307668247894 1.14360524583475 0.287665759177833 0.646218747514429 1.49667261373188 1.35331520896187 2.09175934675741 2.54245131672202 1.42253698244153 0.761009645650314 -0.0460004497854141 2.21483735376874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
31,tanh(x),-2.06605299361481 -1.21556881665574 0.474706471209986 -1.99698686848718 0.0342551079806912 0.117263898025895 -2.52726507120126 0.397556756239883 1.4483089618399 0.304897734245785 0.434790211809807 0.137114042206526 0.547216459710677 -0.320961412295417 2.83655420825988 1.21585606714344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
32,sin(0.5x),-0.520993105803319 -2.28268130230935 -2.1799911465765 -0.695219170699702 -1.54780101492228 -2.16025736043726 -0.722174995863133 -0.973109619663857 0.630878288795879 1.23453036872983 -0.329671221799833 2.18804585859902 0.110121181885194 0.0382657628787736 2.12583200404523 0.0529607498462744 1.41866036471253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
32,tanh(x),0.33447980119691 -1.31724957498567 -0.726098020947523 -1.19782365444926 -2.55304945941403 -0.0951774774321 -0.595672438788743 0.688115631950827 -0.31024281189722 -1.08239136215395 -0.0248860391997679 1.79125736449084 0.698320537471358 1.12489377581709 1.30411031290475 -0.0100648995131594 0.0684370781142645 0.289338784859151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
