id,type,series,series_length
6,sin(0.5x),-0.414704546504138 -1.2171908291327 -1.49713343353788 -1.55996303644914 -1.02475330857645 -0.95745984834341 -0.394245527468397 -0.607348693196868 -0.141305495812023 -0.548068322871062 0.463128199466849 0.800651421362689 1.38173290453466 0.88126858128936 0.159767611816278 1.73457453684485 1.33785951128708 0.699241930476293 0.979667596982985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
6,tanh(x),-1.40692446778163 -0.519449020557111 -0.864658541856022 -0.723473798724482 -1.21784727295331 -0.824548668957031 -1.0397222756971 -0.065154881474038 -0.765929935707823 -0.0600874518924351 1.20455633406587 0.679221975479287 0.655178744782083 1.02913251397329 1.92565761290743 0.140242989594525 0.935573868884483 1.19713602256765 -0.0738346185759728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
7,sin(0.5x),-0.578831801843395 -1.02736416653298 -0.603548381837073 -0.861177236323376 -0.355275667236568 0.099818958730921 -0.828464680671706 0.0443118113250501 0.227023623824151 0.202834924088649 0.152418217810528 0.965799231952997 1.63635025012125 0.5747360577887 0.282806478246666 1.11626932074456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
7,tanh(x),-0.928946819571493 -1.37585593144921 -0.347500652190318 -0.678908303040471 0.615006598201002 0.334298493807606 0.220479180402893 -0.396991302749401 0.877851887201144 1.05044980671135 0.702547112452038 0.483495451294937 1.10152919253772 1.63184351976614 1.30079595821644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
8,sin(0.5x),-1.23822231356782 -1.1689430280809 -0.89645637847532 -2.13621664224989 -1.0006714652026 -1.39642647226604 -0.553863628565193 -0.136075320131955 -1.00947411651639 -0.372434738940997 -0.98910478874022 -0.678828494068297 0.816837051376037 0.220838633070522 1.21864381338387 1.33428852364097 0.505816296804409 0.393152149568471 1.83984757291821 1.02092985536521 0.173605711952723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
8,tanh(x),-1.80788535130981 -0.985696327101075 -1.09214660582232 -1.90774899813721 -1.44174584509619 -0.331861555270101 -0.33286998346336 -1.01939434413691 -0.237789283901892 -0.517967010729399 0.818932098460691 0.148671640862747 1.20941677696915 1.15044914615106 2.04588403185574 0.838746809199183 -0.0943322072671591 0.772938994316483 1.74804985993377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
9,sin(0.5x),-1.19950533323293 -0.835867171245616 -1.73035599792189 -1.32136123034196 -1.71285452413152 -1.36768151895017 0.159897982857154 0.398252954433842 0.125370149846846 0.338218982756629 0.0546682442027336 0.549317364643622 0.828312100130414 0.415214773796935 1.34072908495263 0.131825233749741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
9,tanh(x),-1.92201975236149 -0.657743639970176 -0.453230823530302 -0.607732133572126 -1.14725595053325 -0.981356145682409 -0.0343859749991249 0.473316336317561 0.392328567389817 0.722657247711028 0.352386671560965 0.758116001252163 1.86510690580971 1.71485161577787 0.825295901946922 1.8519082707081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
10,sin(0.5x),-0.629383676841015 -0.681517170321057 -1.5396474392791 -0.331396797278157 -1.681919818937 -0.334324241599631 -0.282097818020098 -0.420206361961098 1.22845714608988 -0.545982367022818 -0.661122910395159 0.0735660441527843 0.650843833264965 1.15038918455924 1.31778620221719 0.201549363916914 0.833721105923908 0.588307488399504 0.918446994072348 0.694375674652855 1.34886743027173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
10,tanh(x),-1.25257233071238 -0.447606606286633 -1.19876594117604 -1.55646847823832 -0.625150746248635 -1.04866678594715 -0.8237123912905 -1.43019230898447 -0.190061117935141 -0.237238822107015 -0.966075693064704 -0.449735852032581 0.751248800944006 0.168844289767837 1.63326557750381 0.878863013898812 0.931026543416019 1.24506243458158 0.637494552170177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
11,sin(0.5x),-0.253153347808365 -1.0843381210895 -1.00319394932891 -1.37628406550581 -0.86513475215124 -1.15359991838828 -1.04504553031436 -0.801064490559216 -1.14726791382165 -0.425319354887335 -0.112811966913576 -0.633967578999886 0.173713849254526 1.238824662378 0.937334646550461 1.40720350061456 1.35448051944134 1.06527375798996 0.865210684311443 0.801531577843155 1.24771336929569 0.424157506310481 0.682988508697175 1.27487314014333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24
11,tanh(x),-0.129170058203323 -1.10487753584883 -1.64028588457768 -0.854329595317371 -1.48854493148989 -0.628767164578561 -0.842849764697582 -0.985977412121283 0.356417803947395 1.0772110985788 1.49524410942658 1.08325083422472 0.948150526223611 0.862076649990062 1.08972530147027 0.941631547824981 1.09693052150715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
12,sin(0.5x),-1.25389663866356 0.0459806993625764 -0.944204923055053 -1.10032118592434 0.252118041421706 -1.02424041215321 -1.16123415189553 -0.871359660793051 0.773111085416129 1.59915138373907 1.28470105226061 1.27538996441068 1.60933848226981 1.28911237953226 1.25017097210141 0.605314462421407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
12,tanh(x),-1.27676128863221 -0.680124847194816 -1.33871473877323 -0.20847418419514 -0.319280278241069 -1.18989450218676 -0.728080810715924 -0.131715017207123 0.485604020045495 1.7633896574587 0.310140037278703 0.720962038753665 0.616474466184279 2.09656631925419 1.17423844323299 0.384187610255395 0.732140726806747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
13,sin(0.5x),-0.302605712877968 -0.645228671248858 -0.885469314950221 -1.57982725673175 -0.185575307482107 -1.06535021303657 -1.70173908874575 -0.241426811767737 -0.574248186156144 -0.659019778517047 -0.250342453928484 0.129156061517455 0.19714819311756 0.00390723044007557 1.43409949364994 0.22858575889146 0.922765024638995 1.38439518870514 0.905420289864124 0.293698766043784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
13,tanh(x),-0.677865001857789 -1.18892582613051 -1.46948924425428 0.0226023385815208 -0.942385129871651 0.0456065702597852 1.44557550141441 1.29607697055283 1.2181786165068 0.794990721758742 1.29890452550932 0.705552866523552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12
14,sin(0.5x),-0.964482697774826 -1.45039202672834 -1.18016883160578 0.455545770208717 -0.97403508137017 -0.826669939679151 -0.451904482192525 -0.298405483331345 0.735091877373523 0.671569651588188 0.814412820234083 0.815043327589603 1.73347859204011 1.16959159614756 1.56369863939811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
14,tanh(x),-1.32003618360796 -1.42242018011056 -1.43937056603889 -0.891225452678422 -0.0277218983752024 -0.17738597252444 -0.218277057495451 -1.12702412202294 -0.187191363645883 0.820408298035142 0.260860918711611 1.3281758342574 0.498165650534456 1.5992462518684 1.27355438928741 1.03310426645282 1.53846900798187 1.0924338165713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
15,sin(0.5x),-0.902789887949535 -0.734213819144326 -2.02817595790273 -0.644739838093895 -0.462624733594678 -0.85770107915093 -0.706884924670832 -1.25760039558526 0.815000507236306 -0.162683793954047 -0.0744838103812054 -0.227648723513363 0.779477642781432 0.486836289949982 0.386130788640402 0.399254231077845 0.556324798798664 0.908627090685314 2.39957028534073 0.953209150440392 1.26060411779893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
15,tanh(x),-1.04199154234214 -0.554784834379012 -0.679530235574122 -0.402510493446705 -0.996716711625271 -0.465854144932153 0.604388108676675 0.775771487515114 1.61556796092783 -0.011942967160579 1.10714137248382 0.781706361391483 1.13599806092029 -0.362814527992438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14
16,sin(0.5x),-1.81677279155363 -2.23822031967644 -1.75018965904667 -1.0667765726467 -0.9811331623315 -1.20102443932317 -1.4649505762747 -0.306371714997776 0.799821391349541 0.312472027345649 0.824799409929352 0.735076349725958 0.934563404358183 0.382198124001416 0.910612930281058 1.08125419114044 0.555463018073566 0.5596195979007 0.911542255595523 1.28332488903159 1.23963598762402 0.877531167499428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
16,tanh(x),-1.51136509766708 -1.65432275137423 -0.342186357710924 -1.28335280854179 -1.19807218961118 -0.735426536887755 -0.490873577967239 -1.24013888859926 -0.948077836737856 -0.480264107383378 0.579111523197149 0.155043604765358 1.18757688792223 1.94555086910633 1.00722646250109 1.00983462545546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
17,sin(0.5x),0.144611549392987 -1.58316644850086 -1.41560580551522 -0.816252186510512 -1.00000067675981 -1.0670781288663 -0.267711129144667 -1.59309013958172 -0.124028474157869 -0.35856601594268 -0.396729056298352 -0.184366606668942 -0.276121329819684 -0.214235915294279 1.16874101279267 1.27632187249654 1.31248180505908 1.73701566705626 2.25965148709369 1.15038470708922 1.39331175050845 1.12789552766122 0.0859420071964508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
17,tanh(x),-1.17164861486482 -0.705591131636496 -0.696914622253166 -1.19526654032825 -1.13992118350189 -0.719229884460108 -1.08478856395337 -0.628805843896966 0.255002581725694 -0.0795819839813948 0.0800348706983043 0.215595087138399 -0.178827792459151 0.260219631379291 0.154284547076095 0.335141275690154 0.831272440870398 1.38385542680202 0.436846174692502 0.210330624498509 0.407798016668225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
18,sin(0.5x),0.418209061499784 -1.18589398080612 -0.647275537120963 -1.13695251707725 -1.3755371072261 -0.255268309190021 -0.661420658956928 -0.265730808772542 1.06898567490446 -0.324016832636773 0.938314940814895 0.442537368126352 -0.0564133668051904 0.673035451006204 1.25869629551928 0.874117328911817 1.35257018716394 1.64270383861554 1.38922569116366 1.25789048492532 0.0103386923149432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
18,tanh(x),-1.28696825513278 -1.92013269687774 -0.642550248967461 -1.4592145486766 -0.870246418275941 -0.654511575324661 -0.317952592417012 -0.811558657466147 -0.57071924484915 -0.28420524119059 -0.288039682991503 -0.29792525985919 -0.131681768362797 0.691788933036686 1.27421775837383 1.27661981034192 2.04436233769864 0.774701819055488 1.16386552951618 1.35889072204401 0.456083573099443 1.5072011328456 1.63548938071213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
19,sin(0.5x),-0.36161833697711 -0.366265318682537 -1.66268320082943 -1.60223357608947 -1.60744819861066 -0.617361532613852 -0.0829567235345966 -0.212463305588832 -0.387567873226855 -0.448720282907268 -0.103181756288293 -0.625731256695957 0.34587581597112 0.573695178277902 1.45898513263149 1.10910373147015 0.52862517708434 1.35569807598934 0.490655317105823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19
19,tanh(x),-0.751392395614675 -0.824107137299533 -0.210067083598088 -1.2481583242991 -1.20079720279772 -1.42262396444002 -1.68092673514669 -1.18957549902304 -1.16675839067535 -0.118073137461032 0.874981193267529 0.659205055930036 0.813633253536719 0.443394826088777 0.964471285721864 0.683922905616976 0.446152876807223 0.926807758424226 0.305929809291856 0.865478019142765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
20,sin(0.5x),-1.1339938357699 -1.10107494937021 -0.230661098575706 -0.464636072044108 -0.961292670216365 0.196004453502081 -0.611822507773887 -0.0246035029391913 1.33820950382787 1.02176977863746 1.07817274189193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11
20,tanh(x),-1.27361422822088 -0.931277506951995 -1.37843988109401 -1.09823766761498 -0.816879233953099 -1.17620519222921 -0.712337079110057 -1.28513297805601 -2.54590315870383 -1.46441440898958 -0.257601087287895 -0.182960740178361 0.134862197855156 0.679000471904591 0.67846102701269 0.872946963771384 1.69755508648126 0.35577071414139 0.437485462782737 0.469350427718514 0.657728936489904 1.67324937804898 0.92459217248066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
21,sin(0.5x),-1.00807562147943 -1.03370746499478 -0.137192616309415 -0.442998893136636 -2.11173370217998 -0.177863739446563 0.35198933293229 -0.740004155216616 -0.416596616919692 -0.274729909964966 0.647259791582956 1.34687488723596 -0.23713888270979 -0.0549545976988722 1.23035279175996 1.59839422482677 0.75770220445766 0.921613444526915 1.98263496270005 0.737878212441118 -0.0567815158251957 1.5252488098865 0.44343009862358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
21,tanh(x),-0.631802003501634 -1.05576729014188 -0.777965122489658 -0.559628318327189 -1.58487380132016 -1.58840265353478 -1.54015588607398 -0.583998275443695 -0.966263113474102 0.425684890555614 1.06895407579007 0.536891899926909 1.28778350949132 1.20620660344023 1.75269123088809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15
22,sin(0.5x),-0.741589220702846 -1.09282420347651 -1.14159581615425 -0.994752538355364 -0.730669110209271 -0.952625508143789 -0.393694034549571 -1.37942800262746 -1.21955373705157 -1.64737156722397 0.154628912324582 -0.496869664597045 0.879383859449444 0.121428116258927 0.364334362670668 0.483124484530373 0.402851650945825 0.938453593088781 -0.10083254099472 1.03469474868065 0.297028810489449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
22,tanh(x),-1.32277879166968 0.175892572103649 -0.378151661462481 -0.480695765200273 -0.732656078056498 -0.905833873507712 -2.27403230223982 -0.115414969752358 0.155361507434906 0.288708787328838 0.422451469880424 0.384580685734824 0.177283956137075 1.10481779803094 1.50930936978809 0.433551430139935 0.855619756911849 -0.118367450555231 0.869269776903609 0.139357941720187 0.671756982224318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
23,sin(0.5x),-1.16684582236948 -1.45035379719397 -0.980319530296962 -1.62333014846373 -0.658185688009826 -1.18016255496287 -1.46908668407716 -0.639923447989158 0.450467835830863 -0.760823272846005 0.6395241602756 0.191982806573131 0.624975119198415 0.731593623438043 1.34233409931855 1.08339756455548 -0.00351515976926697 0.735702799884236 1.53419554854815 0.65827287114901 1.11225776590102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
23,tanh(x),-1.19447972722187 -0.29577974001815 -1.03154563051099 -1.48140930640104 -0.796145155740596 -0.33526949613589 -0.0883535904395261 0.350728989762361 -0.0144959043422497 0.611384134275277 1.14459435939625 2.24692833825101 1.12995917402334 1.35221383116808 1.12168273413306 1.6349050890774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
24,sin(0.5x),-0.258157556870918 0.236091614909595 -1.06509920971012 -1.06444366618099 0.388765342192987 0.204872934996231 0.00743351106451801 0.210411551804636 0.642937967130019 0.424153479881841 1.35331858225512 1.65511146796654 0.843632079332019 0.949772641108179 1.17765296115544 1.4581678809257 1.50793188781165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
24,tanh(x),-1.0262166289493 -1.35768460525591 -0.702264461552858 -0.998964840487026 -0.854079637868072 -0.299378926837058 -1.57631347861809 -1.14925452901166 -0.110511723264085 -0.37208157678597 0.202750076428029 -0.882514523445192 0.536486724482495 1.22167035895823 1.15678931517836 2.57898827064247 1.35834192290731 2.01733349582285 1.98820807175457 1.13680358607771 0.484376578443861 1.76451300125815 0.626624047424672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,23
25,sin(0.5x),-0.935444068476109 -0.626609590480501 0.289963173023879 -0.734821078549053 -0.410525223401767 -0.162364250305212 -1.77558840250471 -0.0228781078978723 0.896563372622379 0.704209057292069 -0.274922752866841 0.732594398819765 0.323496980718893 0.681531011699756 1.38612758437503 0.916774019642984 0.133770081267024 1.64262719714411 -0.121454401168572 1.03268711758855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
25,tanh(x),-1.56905757817062 -0.52187677419833 -0.801826179714966 -0.493295650382307 -1.17859433769816 -0.922193894817869 -0.312341550012345 -1.50342491143409 1.89322953497805 1.09186985354291 1.06621107225929 0.517927209881026 0.955864035162643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13
26,sin(0.5x),-1.07069267443564 -1.58788338214553 -0.738473899689672 -0.785066250719904 -0.94595603745853 -0.812896911148132 -0.918951177045317 -0.106222588836533 -1.61638916279018 -0.552138117300454 -0.425593949591032 -0.456807011628794 -0.130544225502218 1.31065037249881 0.809135606042897 0.920864958290737 1.14841103253044 0.430325435403819 0.609441100139447 0.255268332946772 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
26,tanh(x),-0.637381516284496 -1.46763094968563 -1.08743034342369 -1.77542840632071 -0.60363552766933 -0.774483840984537 -1.17844592454215 -1.00358823239648 -1.52027567271278 -0.528815660797772 -1.44597434690704 0.0147869227334454 0.535456015395627 0.382603142895966 0.533387854772455 0.484312670647755 0.936800191703758 0.930623401635374 1.08649538974457 0.924103200036617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
27,sin(0.5x),0.0953934837845827 -1.73625074446603 -0.769170257945637 -1.10201205508097 -0.194864705204617 -1.64064592233522 -1.46737410742535 -0.532978788619117 -0.251321153396289 -0.49023219151401 0.697177100037077 0.197323371878264 0.334183605395473 -0.0210005033806585 0.0686381928536792 0.586839193696141 0.705993590932881 0.974140323160322 0.85468157090647 0.175982674553173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20
27,tanh(x),0.146788078924249 -1.82550529425849 -0.935187040828215 -0.728715252771462 -1.62453219592707 -1.23548120270235 -1.86459928085627 -1.68177546993752 -0.246859332097643 -0.881486738955352 -1.55079324928057 -0.480100009412015 0.163595842539604 -0.414223974691121 -0.0288968241126105 1.48219642466927 0.419749361768598 0.157403560045887 1.07151715551049 1.82802962253338 0.969720700629845 1.03443334099393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
28,sin(0.5x),-0.31931239447916 -0.763776773929198 -0.419283091262549 -1.839567627712 -0.399083264041881 -0.922441372895327 -0.383344941684884 -1.31409038050364 -1.57367227355926 -0.271890524064175 1.75541143920921 -0.061281630086739 -0.285960918577752 0.181326690578221 -0.642916801320137 0.817311022239088 1.23745220330868 0.890670609076596 0.700802617030938 0.381972847951539 1.69806355989977 1.59548108695482 0.785411840882508 0.481470169681726 1.01701115447642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25
28,tanh(x),-1.38004171908084 -0.401801101053993 -0.818133345808777 -1.5688532227834 -0.239980582662539 -1.61616776259887 -0.483005959288719 -1.51155039239756 -1.5760254334515 -0.386554372391842 -1.26974830681668 -1.58314868088911 0.654113055773535 0.970258214942888 0.413616628630145 1.27401758751663 0.600129528832724 1.14284088807891 0.434552018331815 0.513863839220056 0.885701123822132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
29,sin(0.5x),-1.43047680718459 -0.584059209915904 -0.665130190082896 -1.30431686941597 -1.35021989908439 -1.13523479117459 -0.625836245999333 -1.85945294134327 -0.401264589842974 -0.953502140823499 -0.339343246384461 -0.904396313052745 -0.38951724381901 1.18807449001451 -0.560843023508492 0.707291852376624 0.650219534578312 0.960830485755547 1.10742486926523 0.943404730990493 1.75266345086278 0.677211248464295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,22
29,tanh(x),-0.73259974047683 -1.36321681594796 -1.59859273674783 -1.11189652990325 -1.74297847471764 -0.971306093278621 -0.808056750299503 -1.71718883631879 -1.83909066969235 -0.479481870760329 -0.34509573890667 -0.855371130719026 0.124389346190167 -0.4707209991175 -0.160600232508049 0.275462277538666 -0.289805365764016 -0.690062790896235 1.31386385000101 1.14772140704349 2.07499611555588 1.34498601486251 0.601558188245073 0.463237002127959 1.50403402903211 1.10464332389239 0.542975839098575 0.064550434313018 0.779347508131261 0 0 0 0 0 0 0 0 0 0 0,29
30,sin(0.5x),-1.89683457960135 -0.618147576320534 -1.18725258975426 -1.32694571361955 -1.78858018629905 -1.34555741769662 -1.5272288909696 0.449873658982966 -0.302005800080638 -0.727370971603077 -0.576124570762089 1.02216451114425 0.50187345767906 0.31074533136559 1.44568229783246 0.614174203776631 0.818016738931804 1.29900526536692 1.22928603337929 1.37392237072234 0.130184549543924 0.401082142959244 0.622877133264283 0.989724462314588 0.607977207770532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25
30,tanh(x),-0.106116891267838 -1.91446263180803 -1.31263961804604 -0.745456411330914 -0.982218660368278 -1.22638832658436 -1.20842370445185 -0.139691499666103 0.116315795248943 0.652221354081728 0.737528673375413 1.33457881022404 1.75370675434501 1.09563768661511 1.98573646803281 0.306786828441366 -0.0253177615461732 1.56666938423899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
31,sin(0.5x),-0.458492211445026 -1.21174122880891 -0.780229784930054 -1.67027933165947 -1.77915265794884 -0.98162957455156 -1.03212227082728 -0.0691928079403422 -0.395319795431334 -0.522845489203614 -0.111021550461946 -0.217542015115912 0.758824972874947 0.251264298671713 0.342254107724566 0.580495041736261 1.06355903365371 0.580774645390771 1.20120290802841 0.63873800734525 0.855624215089124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21
31,tanh(x),-1.88289325643551 -0.249959505091915 -1.50740173843531 -1.08970836660966 -0.813272443023646 -0.762925109654731 -0.232508910859333 -1.2975039824246 0.180066858242247 0.612692350963408 1.50172250219755 -0.115731928642037 1.22915690459778 0.868709144957104 1.25230359395689 0.732255819859761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16
32,sin(0.5x),-1.71906612761302 -0.551201842241517 -0.501973755234546 -0.205347102934455 -1.09671001719109 -1.0904768969236 -0.227681544095487 0.0319567761922586 -0.822157125457741 -0.350998044207489 0.946437737592649 0.223636882516453 1.29253667707839 0.676078092639136 0.448485815954534 1.12361804226904 1.03246592290966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17
32,tanh(x),-1.3618492063668 -1.05793755980312 -1.77732950413895 -1.14717221900681 -0.818435876246082 -0.586056091625595 -0.780045402964201 -0.798902567988259 -1.49457513991443 -0.573951549762336 0.129193834234685 0.418291543614416 1.43095236742115 1.16852171646521 0.337563548587628 0.924489497451892 0.91936962973312 0.744124032461241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18
